CD14	CD23	CD3	CD19	Event	Population
186	296	290	243	136	5
115	229	508	101	137	8
121	196	162	109	138	1
482	188	279	287	139	7
246	304	323	189	140	4
218	296	269	254	141	5
174	249	288	249	142	5
64	238	587	203	143	8
90	136	338	119	144	1
275	162	272	216	145	4
155	289	280	189	146	4
206	227	297	235	147	5
209	297	255	255	148	5
163	214	275	193	149	4
235	301	294	150	150	4
141	246	574	157	151	8
123	74	569	199	152	8
368	212	211	162	153	4
601	0	129	287	154	7
257	327	258	307	155	9
172	114	630	230	156	8
138	0	402	209	157	8
84	173	173	160	158	1
243	276	298	225	159	4
152	136	560	271	160	8
175	322	280	171	161	4
83	37	498	276	162	8
233	305	316	286	163	9
87	0	546	186	164	8
2	527	48	502	165	2
115	165	574	240	166	8
140	0	510	246	167	8
187	386	251	224	168	4
233	275	311	199	169	4
183	247	307	214	170	4
164	235	572	79	171	8
161	259	242	256	172	5
214	309	310	270	173	9
644	328	339	217	174	7
171	189	243	276	175	5
142	253	239	244	176	5
66	214	584	251	177	8
73	62	554	258	178	8
51	65	543	304	179	8
258	296	287	187	180	4
266	329	300	177	181	4
18	181	562	182	182	8
169	42	532	253	183	8
156	241	280	163	184	4
86	133	517	111	185	8
174	290	248	195	186	4
204	285	255	246	187	5
91	1	491	208	188	8
111	156	571	259	189	8
226	98	179	239	190	1
29	0	540	266	191	8
249	336	289	296	192	9
129	150	513	214	193	8
164	70	554	277	194	8
220	289	331	305	195	9
130	102	468	0	196	8
107	213	148	596	197	2
19	611	0	462	198	2
220	311	296	330	199	9
80	141	558	190	200	8
175	324	307	277	201	9
263	243	258	264	202	5
656	174	198	328	203	7
168	216	587	254	204	8
199	212	235	225	205	5
265	191	290	215	206	4
30	75	595	286	207	8
338	245	258	182	208	4
94	103	553	191	209	8
115	544	49	472	210	2
81	145	563	173	211	8
188	221	278	174	212	4
71	118	427	211	213	8
191	246	298	314	214	5
97	0	562	280	215	8
166	281	258	227	216	5
226	334	283	349	217	9
117	0	527	234	218	8
27	192	585	277	219	8
127	216	595	183	220	8
256	240	290	260	221	5
640	257	182	177	222	7
156	7	553	246	223	8
248	313	344	312	224	9
277	354	353	358	225	9
611	46	148	310	226	7
143	202	546	177	227	8
154	286	186	197	228	4
129	0	536	157	229	8
163	181	223	91	230	1
201	281	317	256	231	5
91	138	479	156	232	8
110	0	514	185	233	8
592	122	242	212	234	7
30	139	136	218	235	1
156	286	260	234	236	5
646	140	228	262	237	7
237	250	524	200	238	8
44	609	126	463	239	2
217	243	201	226	240	5
116	105	550	325	241	8
52	222	513	120	242	8
227	265	300	313	243	5
134	184	553	279	244	8
281	236	251	222	245	4
110	209	114	111	246	1
0	0	611	344	247	8
460	508	467	616	248	3
107	273	221	564	249	2
416	239	232	176	250	4
226	341	292	285	251	9
182	311	255	153	252	4
300	305	321	239	253	9
394	491	650	378	254	10
97	175	552	313	255	8
0	0	546	124	256	8
264	317	354	352	257	9
559	219	275	293	258	7
214	326	272	350	259	9
212	292	285	258	260	5
157	120	565	262	261	8
69	86	565	217	262	8
148	305	247	120	263	4
144	253	373	261	264	5
207	191	154	161	265	1
85	190	561	156	266	8
138	48	536	152	267	8
249	324	283	310	268	9
641	257	271	300	269	7
130	189	543	293	270	8
209	283	295	252	271	5
253	268	287	279	272	9
123	118	582	290	273	8
212	251	106	544	274	2
306	324	276	313	275	9
11	132	513	240	276	8
128	219	458	175	277	8
134	316	274	272	278	5
254	353	367	225	279	9
169	293	265	224	280	4
122	70	569	161	281	8
128	200	512	207	282	8
76	42	447	29	283	8
223	322	314	256	284	9
195	151	529	205	285	8
159	149	596	328	286	8
183	259	261	274	287	5
202	142	592	224	288	8
349	469	355	337	289	9
61	169	565	106	290	8
101	233	542	0	291	8
205	234	622	285	292	8
251	353	291	295	293	9
0	254	562	232	294	8
272	326	356	235	295	9
43	199	544	289	296	8
93	646	31	439	297	2
209	278	135	109	298	4
14	73	578	232	299	8
131	123	528	147	300	8
0	174	477	229	301	8
119	162	609	288	302	8
149	218	296	274	303	5
223	91	550	244	304	8
97	76	574	248	305	8
216	141	498	236	306	8
126	223	230	240	307	5
275	270	260	306	308	9
272	315	299	294	309	9
213	266	337	194	310	4
237	286	320	245	311	9
214	198	157	180	312	1
50	142	589	226	313	8
160	123	540	137	314	8
129	80	576	235	315	8
67	135	533	293	316	8
207	329	268	298	317	9
275	205	304	266	318	5
103	203	574	231	319	8
143	60	502	269	320	8
251	315	256	320	321	9
567	577	459	416	322	10
515	572	404	360	323	10
155	303	284	277	324	5
642	65	267	246	325	7
194	272	300	115	326	4
64	112	180	0	327	1
188	208	518	168	328	8
136	215	535	216	329	8
227	214	247	211	330	4
136	147	141	172	331	1
90	98	590	311	332	8
88	521	82	490	333	2
500	541	479	354	334	10
198	306	303	259	335	9
67	147	584	260	336	8
113	258	187	155	337	1
42	384	168	320	338	2
624	164	246	149	339	7
237	306	328	313	340	9
54	24	622	265	341	8
110	0	523	255	342	8
224	237	555	267	343	8
260	196	290	278	344	5
150	0	483	91	345	8
238	317	265	197	346	4
624	140	297	287	347	7
166	251	186	263	348	5
655	217	205	299	349	7
210	101	487	267	350	8
405	447	436	525	351	3
225	310	292	294	352	9
280	295	293	214	353	4
222	183	303	163	354	4
0	245	576	286	355	8
86	125	567	276	356	8
224	338	258	80	357	4
136	200	559	267	358	8
251	250	273	208	359	4
147	0	65	161	360	1
405	457	399	584	361	3
206	256	214	259	362	5
129	230	201	304	363	5
154	173	142	58	364	1
0	156	596	202	365	8
212	293	244	260	366	5
255	333	206	203	367	4
170	282	310	220	368	4
102	10	531	189	369	8
137	268	289	281	370	5
266	257	271	295	371	9
178	0	564	177	372	8
231	299	303	231	373	4
82	506	136	483	374	2
174	292	295	150	375	4
89	77	500	289	376	8
253	268	215	168	377	4
231	290	243	245	378	5
43	287	111	187	379	1
101	131	428	60	380	8
184	193	275	176	381	4
156	219	596	312	382	8
153	92	185	144	383	1
108	0	508	186	384	8
212	309	323	150	385	4
253	245	306	235	386	4
99	100	568	263	387	8
13	169	575	288	388	8
215	259	265	300	389	5
60	43	614	126	390	8
90	199	613	346	391	8
637	280	121	249	392	7
144	276	286	242	393	5
139	150	154	158	394	1
624	188	256	258	395	7
211	206	591	220	396	8
59	44	220	121	397	1
179	334	299	260	398	9
526	562	444	405	399	10
93	127	585	275	400	8
181	262	252	289	401	5
56	126	466	192	402	8
211	293	332	281	403	9
241	282	286	271	404	9
146	57	582	262	405	8
241	305	270	291	406	9
255	382	295	315	407	9
627	0	257	156	408	7
86	521	177	469	409	2
0	214	637	294	410	8
250	209	223	280	411	5
214	206	258	138	412	4
59	174	481	173	413	8
599	140	248	256	414	7
151	264	627	342	415	8
168	166	553	270	416	8
293	89	206	157	417	1
501	169	280	306	418	7
50	229	552	101	419	8
198	385	285	334	420	9
230	322	271	256	421	9
173	275	258	256	422	5
246	238	208	270	423	5
115	266	132	237	424	5
206	333	299	254	425	9
86	151	584	268	426	8
288	204	264	295	427	5
420	453	393	407	428	3
306	408	379	376	429	9
122	227	185	125	430	1
123	45	640	352	431	8
243	289	256	271	432	9
63	255	165	207	433	1
615	339	366	359	434	7
41	40	531	38	435	8
185	213	454	150	436	8
150	255	550	252	437	8
123	75	506	148	438	8
282	190	274	227	439	4
613	0	106	273	440	7
73	224	391	209	441	8
0	175	538	249	442	8
148	243	559	211	443	8
287	239	316	217	444	4
192	282	219	267	445	5
131	656	175	560	446	2
216	290	251	252	447	5
117	0	559	215	448	8
92	160	521	252	449	8
83	343	284	270	450	5
285	318	333	302	451	9
0	0	555	192	452	8
64	194	587	328	453	8
405	477	453	568	454	3
301	317	322	201	455	9
205	305	166	214	456	4
635	318	142	270	457	7
597	0	288	285	458	7
194	119	560	303	459	8
112	130	601	283	460	8
166	263	259	286	461	5
97	202	233	130	462	1
5	553	199	523	463	2
132	105	468	170	464	8
83	262	187	537	465	2
271	311	215	106	466	4
222	267	335	324	467	9
126	106	97	189	468	1
793	720	627	440	469	10
181	225	585	177	470	8
180	292	329	268	471	5
142	200	53	58	472	1
130	319	303	198	473	4
135	256	155	102	474	1
125	165	607	185	475	8
133	40	404	114	476	8
74	67	536	284	477	8
186	241	560	192	478	8
177	187	611	276	479	8
83	294	28	528	480	2
138	58	589	202	481	8
142	273	245	272	482	5
675	691	598	513	483	10
35	157	531	230	484	8
0	0	503	264	485	8
112	62	535	220	486	8
185	124	591	196	487	8
143	105	514	240	488	8
207	467	227	290	489	9
419	467	443	634	490	3
181	267	546	321	491	8
312	312	304	202	492	9
255	296	346	209	493	4
123	0	107	261	494	1
210	253	284	329	495	5
215	200	262	248	496	5
77	118	581	0	497	8
173	214	266	242	498	5
166	101	494	214	499	8
215	220	254	222	500	5
48	127	576	185	501	8
248	265	244	303	502	5
150	35	515	179	503	8
151	61	550	220	504	8
88	159	581	276	505	8
213	205	9	199	506	1
108	120	90	173	507	1
121	741	206	299	508	2
485	598	430	448	509	10
150	191	598	231	510	8
97	163	577	309	511	8
173	118	519	203	512	8
124	289	119	235	513	5
109	80	542	187	514	8
260	271	281	326	515	9
215	338	232	111	516	4
153	101	573	150	517	8
232	252	275	181	518	4
249	292	187	244	519	5
40	100	207	179	520	1
185	219	550	265	521	8
176	325	307	160	522	4
568	581	447	441	523	10
139	131	551	156	524	8
198	289	294	300	525	5
470	343	263	333	526	9
261	354	349	331	527	9
414	459	392	406	528	3
252	188	291	243	529	5
107	44	528	96	530	8
148	446	102	490	531	2
269	312	306	313	532	9
89	105	572	204	533	8
327	410	359	376	534	9
201	158	528	211	535	8
470	188	338	308	536	7
23	0	555	267	537	8
60	28	539	185	538	8
174	232	531	207	539	8
101	211	169	81	540	1
542	369	346	350	541	7
137	146	639	280	542	8
232	314	201	295	543	5
232	278	280	224	544	4
262	96	256	238	545	5
666	206	258	232	546	7
294	270	301	211	547	4
123	271	201	136	548	4
175	0	477	248	549	8
244	272	298	222	550	4
76	153	668	210	551	8
224	211	297	291	552	5
173	117	174	94	553	1
63	112	538	266	554	8
118	185	51	510	555	2
136	248	578	270	556	8
61	134	611	326	557	8
603	323	292	318	558	7
286	340	291	243	559	9
68	660	176	515	560	2
192	270	268	356	561	5
91	436	160	538	562	2
194	16	588	310	563	8
274	218	218	259	564	5
165	97	146	288	565	1
87	129	524	267	566	8
112	0	362	46	567	1
106	69	0	44	568	1
144	240	551	247	569	8
152	272	275	253	570	5
199	253	287	315	571	5
174	138	598	273	572	8
63	35	318	190	573	1
149	224	562	121	574	8
100	64	495	146	575	8
7	143	544	213	576	8
190	251	222	304	577	5
20	238	535	221	578	8
121	176	179	222	579	1
82	181	0	602	580	2
243	252	285	178	581	4
175	142	581	264	582	8
196	275	275	187	583	4
591	292	276	342	584	7
304	360	314	266	585	9
288	409	364	314	586	9
71	123	553	84	587	8
253	331	297	236	588	9
102	296	606	267	589	8
200	356	300	334	590	9
119	0	577	294	591	8
243	195	547	350	592	8
7	0	328	155	593	1
283	176	232	234	594	5
285	221	336	213	595	4
208	323	245	236	596	4
225	232	341	239	597	4
201	193	550	123	598	8
87	174	523	232	599	8
69	140	538	206	600	8
131	210	582	198	601	8
111	89	522	226	602	8
236	262	274	234	603	4
173	217	346	236	604	5
246	326	300	254	605	9
117	189	637	291	606	8
198	249	499	244	607	8
194	168	245	238	608	5
193	305	272	210	609	4
137	639	0	430	610	2
626	71	274	260	611	7
197	197	262	112	612	4
197	82	596	232	613	8
531	111	333	236	614	7
210	437	241	259	615	9
177	237	187	173	616	4
251	273	340	267	617	9
178	146	233	309	618	5
200	312	245	325	619	5
260	320	304	287	620	9
137	0	537	152	621	8
108	176	601	282	622	8
230	306	276	120	623	4
103	231	589	221	624	8
250	210	249	273	625	5
167	335	284	220	626	4
193	282	166	243	627	5
247	302	308	328	628	9
78	441	26	501	629	2
195	336	288	187	630	4
70	111	539	173	631	8
96	67	602	212	632	8
61	69	358	244	633	8
121	237	546	187	634	8
248	247	303	360	635	9
130	229	660	343	636	8
263	373	237	318	637	9
174	26	590	288	638	8
249	276	211	41	639	4
79	129	230	62	640	1
219	164	222	209	641	5
120	55	556	213	642	8
92	6	538	225	643	8
127	162	528	81	644	8
229	326	266	326	645	9
165	129	589	182	646	8
139	212	547	181	647	8
200	298	282	228	648	4
70	136	562	190	649	8
219	146	325	301	650	5
73	0	571	112	651	8
131	98	545	183	652	8
246	224	206	191	653	4
172	193	509	168	654	8
492	137	246	280	655	7
105	59	547	243	656	8
165	103	617	285	657	8
81	0	48	102	658	1
255	285	311	168	659	4
808	791	510	460	660	10
226	237	269	219	661	4
213	349	603	157	662	8
60	227	481	107	663	8
76	6	546	329	664	8
254	247	618	225	665	8
167	0	206	212	666	1
230	224	306	256	667	5
109	232	250	310	668	5
55	134	526	277	669	8
120	94	598	241	670	8
193	40	519	147	671	8
240	297	536	267	672	8
34	95	585	236	673	8
124	0	587	241	674	8
35	116	544	240	675	8
170	270	230	564	676	2
127	209	307	184	677	4
167	297	235	280	678	5
183	269	244	263	679	5
218	322	336	263	680	9
305	317	296	165	681	4
277	217	239	316	682	5
301	321	350	331	683	9
171	213	269	218	684	5
458	527	567	436	685	10
231	272	340	126	686	4
138	139	617	285	687	8
596	58	187	272	688	7
75	223	362	254	689	5
134	201	610	274	690	8
93	160	215	168	691	1
83	27	560	184	692	8
102	215	553	98	693	8
176	49	568	267	694	8
156	161	562	238	695	8
71	558	0	452	696	2
458	367	320	296	697	9
210	168	238	223	698	5
385	470	411	401	699	3
118	116	604	216	700	8
139	223	547	263	701	8
215	353	272	302	702	9
207	245	133	277	703	5
245	269	271	304	704	5
225	268	275	267	705	5
164	298	268	272	706	5
164	0	608	322	707	8
218	315	226	83	708	4
257	106	215	137	709	1
238	150	474	115	710	8
230	212	287	92	711	4
71	0	587	259	712	8
76	112	517	262	713	8
243	308	292	286	714	9
245	284	263	238	715	4
141	204	306	207	716	5
643	260	274	303	717	7
30	139	572	292	718	8
654	91	231	270	719	7
260	372	369	192	720	9
243	298	278	219	721	4
235	276	547	294	722	8
168	214	114	39	723	1
112	57	555	273	724	8
135	140	535	221	725	8
216	229	226	188	726	4
103	151	547	272	727	8
68	154	569	242	728	8
210	316	264	299	729	9
173	136	471	245	730	8
176	325	255	224	731	4
136	190	532	185	732	8
261	245	309	248	733	9
25	75	82	155	734	1
58	134	600	310	735	8
96	145	517	264	736	8
25	165	524	184	737	8
718	155	348	258	738	7
239	292	323	219	739	4
629	167	263	251	740	7
678	405	361	325	741	7
106	159	568	311	742	8
236	273	300	191	743	4
217	150	578	237	744	8
139	175	169	217	745	1
203	288	329	276	746	9
195	176	264	207	747	5
208	163	176	165	748	1
123	225	562	272	749	8
111	0	408	152	750	8
608	124	179	272	751	7
213	218	204	138	752	4
203	266	277	326	753	5
232	144	604	334	754	8
94	130	566	199	755	8
79	111	553	267	756	8
50	35	504	237	757	8
290	251	311	206	758	4
143	260	288	206	759	4
134	141	531	244	760	8
181	148	621	218	761	8
98	183	200	542	762	5
81	96	600	293	763	8
326	261	298	284	764	9
200	477	274	267	765	9
195	244	309	257	766	5
190	148	313	77	767	4
256	289	174	204	768	4
228	341	301	267	769	9
115	192	564	259	770	8
117	198	478	194	771	8
91	132	605	270	772	8
56	5	613	297	773	8
248	308	265	183	774	4
182	307	281	320	775	5
102	108	518	225	776	8
106	0	561	242	777	8
292	289	268	300	778	9
149	256	582	236	779	8
176	183	552	347	780	8
13	85	561	235	781	8
67	79	269	60	782	1
139	257	270	317	783	5
660	230	369	344	784	7
447	356	263	98	785	4
140	250	564	254	786	8
286	322	280	212	787	9
318	255	302	0	788	4
172	307	231	206	789	4
240	208	277	267	790	5
140	69	622	254	791	8
235	285	315	312	792	9
147	209	142	247	793	5
196	346	322	215	794	4
624	91	273	215	795	7
176	355	331	298	796	9
258	270	323	197	797	4
114	237	500	230	798	8
134	49	492	226	799	8
235	210	274	155	800	4
32	69	604	213	801	8
104	217	579	243	802	8
34	193	507	169	803	8
225	237	318	189	804	4
147	135	571	323	805	8
247	246	285	175	806	4
120	78	531	221	807	8
180	176	507	216	808	8
247	338	228	283	809	9
286	239	182	271	810	5
83	195	491	224	811	8
247	281	282	257	812	9
53	0	326	179	813	1
268	246	262	103	814	4
134	183	510	113	815	8
133	297	207	303	816	5
110	183	527	275	817	8
36	173	633	291	818	8
143	192	547	132	819	8
137	184	548	247	820	8
155	291	232	77	821	4
194	318	276	310	822	5
260	290	348	276	823	9
114	190	504	7	824	8
314	311	281	248	825	9
264	146	266	200	826	4
208	98	252	271	827	5
236	338	300	260	828	9
83	177	0	264	829	1
130	657	136	453	830	2
254	246	282	256	831	5
476	255	171	352	832	7
83	154	554	196	833	8
122	309	85	220	834	5
142	179	564	114	835	8
70	159	621	255	836	8
131	196	632	306	837	8
79	183	391	315	838	8
154	72	546	255	839	8
82	98	558	249	840	8
170	220	528	271	841	8
17	203	546	275	842	8
186	217	166	253	843	5
172	301	262	271	844	5
178	333	325	230	845	4
130	252	128	62	846	1
669	239	379	370	847	7
100	0	558	288	848	8
233	261	298	249	849	5
72	231	129	135	850	1
145	24	148	154	851	1
218	227	292	274	852	5
30	514	0	453	853	2
0	126	359	0	854	1
204	278	566	307	855	8
186	302	207	282	856	5
124	208	549	205	857	8
113	108	90	155	858	1
274	303	243	219	859	4
160	309	321	314	860	5
145	134	576	241	861	8
109	99	563	238	862	8
283	263	272	321	863	9
170	91	469	178	864	8
126	135	567	216	865	8
57	101	524	298	866	8
150	177	396	229	867	8
420	328	298	288	868	9
213	344	316	278	869	9
198	304	252	170	870	4
266	330	259	277	871	9
181	319	230	336	872	5
603	309	253	206	873	7
215	318	348	310	874	9
82	169	562	42	875	8
43	133	560	284	876	8
479	247	237	171	877	7
194	222	209	267	878	5
112	77	562	314	879	8
58	227	620	333	880	8
390	460	424	559	881	3
157	105	516	219	882	8
630	475	461	628	883	3
135	0	360	0	884	1
148	333	255	330	885	5
708	801	573	537	886	10
330	207	265	227	887	4
240	328	307	252	888	9
260	328	262	309	889	9
133	65	603	252	890	8
202	302	246	263	891	5
249	254	288	248	892	5
112	115	473	237	893	8
185	269	511	130	894	8
217	304	286	293	895	9
181	245	242	301	896	5
161	189	247	274	897	5
205	211	313	193	898	4
81	255	586	323	899	8
161	361	260	176	900	4
95	190	182	80	901	1
141	216	393	211	902	4
101	472	102	529	903	2
325	349	155	280	904	9
236	363	296	283	905	9
145	282	248	201	906	4
75	161	375	165	907	8
92	59	552	176	908	8
286	307	284	257	909	9
56	242	524	170	910	8
123	289	523	178	911	8
139	392	0	464	912	2
114	129	551	290	913	8
85	76	591	147	914	8
249	304	256	165	915	4
201	350	260	249	916	9
119	0	589	156	917	8
214	160	265	262	918	5
63	39	564	256	919	8
69	188	157	203	920	1
39	522	0	445	921	2
266	293	320	246	922	9
130	153	112	206	923	1
162	168	25	82	924	1
68	306	221	186	925	4
107	160	643	240	926	8
269	305	251	250	927	9
219	290	285	300	928	9
101	236	513	162	929	8
120	327	216	210	930	4
278	295	583	289	931	8
166	324	307	244	932	4
8	120	566	258	933	8
210	200	254	218	934	5
185	271	291	221	935	4
244	330	266	274	936	9
0	499	178	509	937	2
152	61	542	278	938	8
163	284	276	276	939	5
604	175	180	103	940	7
187	302	243	296	941	5
236	192	283	272	942	5
0	347	0	519	943	2
148	203	262	131	944	4
263	278	276	196	945	4
71	124	493	222	946	8
44	263	570	195	947	8
222	336	245	301	948	9
152	168	600	340	949	8
156	330	243	277	950	5
66	145	131	172	951	1
218	241	291	227	952	4
165	297	270	252	953	5
145	234	590	323	954	8
192	214	617	239	955	8
106	607	71	456	956	2
179	108	132	153	957	1
169	345	308	248	958	9
157	9	562	250	959	8
100	218	612	262	960	8
114	249	244	298	961	5
103	194	208	124	962	1
290	339	261	153	963	4
553	568	452	440	964	10
101	263	0	583	965	2
76	90	613	318	966	8
199	183	546	259	967	8
211	299	331	319	968	9
119	275	176	202	969	5
73	136	547	167	970	8
123	176	529	295	971	8
206	287	309	269	972	5
229	289	253	187	973	4
690	690	563	445	974	10
373	429	377	426	975	3
141	264	539	251	976	8
0	231	572	280	977	8
144	173	397	223	978	8
319	288	277	284	979	9
252	263	254	294	980	5
141	593	119	489	981	2
129	155	587	249	982	8
673	84	225	287	983	7
285	349	331	337	984	9
179	303	205	202	985	4
176	0	553	252	986	8
228	242	287	244	987	5
139	228	559	191	988	8
146	248	63	551	989	2
99	227	581	282	990	8
246	259	303	263	991	9
274	304	337	277	992	9
116	107	628	304	993	8
141	209	285	152	994	4
92	493	172	560	995	2
348	297	319	298	996	9
278	263	301	169	997	4
251	229	282	373	998	5
292	307	507	327	999	9
267	284	299	283	1000	9
319	355	345	300	1001	9
16	366	261	262	1002	5
168	160	511	163	1003	8
216	357	299	262	1004	9
171	278	284	222	1005	4
287	286	301	196	1006	4
606	214	251	130	1007	7
286	329	292	172	1008	4
353	301	577	125	1009	8
95	106	539	101	1010	8
55	130	594	32	1011	8
255	324	273	196	1012	4
210	209	259	211	1013	4
619	205	173	140	1014	7
96	128	203	110	1015	1
248	254	301	262	1016	9
102	101	528	250	1017	8
187	183	518	216	1018	8
0	48	549	250	1019	8
36	64	561	271	1020	8
122	108	392	94	1021	8
377	446	397	609	1022	3
185	81	202	244	1023	1
93	206	138	210	1024	1
638	0	230	300	1025	7
0	163	520	316	1026	8
209	252	299	290	1027	5
171	22	550	46	1028	8
301	296	294	210	1029	9
228	243	239	290	1030	5
192	314	277	295	1031	5
121	181	551	277	1032	8
181	222	280	242	1033	5
313	319	265	255	1034	9
151	110	557	187	1035	8
302	256	291	255	1036	9
38	183	525	217	1037	8
245	247	296	322	1038	5
113	123	471	228	1039	8
252	289	280	288	1040	9
93	115	585	310	1041	8
178	252	286	331	1042	5
142	118	561	278	1043	8
64	191	458	252	1044	8
59	263	578	222	1045	8
101	120	543	322	1046	8
266	308	267	284	1047	9
213	277	286	188	1048	4
179	324	259	231	1049	4
71	200	524	209	1050	8
132	105	528	291	1051	8
97	74	591	270	1052	8
170	261	594	268	1053	8
134	132	562	280	1054	8
70	585	85	431	1055	2
146	101	516	232	1056	8
166	331	311	233	1057	4
94	241	558	194	1058	8
0	161	497	193	1059	8
131	149	586	201	1060	8
212	268	575	253	1061	8
0	66	576	263	1062	8
230	272	243	271	1063	5
266	299	300	310	1064	9
205	332	272	216	1065	4
188	286	243	288	1066	5
209	265	288	266	1067	5
420	473	426	575	1068	3
243	277	272	192	1069	4
70	83	605	273	1070	8
221	300	250	230	1071	4
151	353	213	268	1072	5
125	251	301	278	1073	5
255	181	295	250	1074	5
81	72	602	313	1075	8
183	345	230	251	1076	5
180	10	592	313	1077	8
191	119	517	313	1078	8
65	132	538	173	1079	8
52	552	63	516	1080	2
182	267	337	235	1081	4
0	482	77	459	1082	2
156	186	577	333	1083	8
302	216	294	260	1084	9
248	283	257	266	1085	5
60	11	568	230	1086	8
167	13	173	283	1087	1
147	241	587	285	1088	8
66	87	531	119	1089	8
63	0	544	270	1090	8
165	183	612	304	1091	8
423	477	418	367	1092	3
216	304	324	272	1093	9
274	275	265	330	1094	9
167	167	202	216	1095	1
310	236	275	178	1096	4
104	170	567	190	1097	8
155	232	299	270	1098	5
60	175	570	237	1099	8
141	164	623	307	1100	8
142	0	626	245	1101	8
283	306	347	250	1102	9
117	151	436	295	1103	8
155	163	522	236	1104	8
95	113	470	245	1105	8
276	272	283	300	1106	9
290	357	350	299	1107	9
76	178	567	211	1108	8
177	41	501	268	1109	8
683	211	207	290	1110	7
279	366	357	313	1111	9
158	110	504	174	1112	8
239	274	324	189	1113	4
54	158	595	266	1114	8
138	248	210	162	1115	4
99	215	184	299	1116	5
147	242	282	299	1117	5
413	446	419	578	1118	3
68	478	0	516	1119	2
0	693	122	471	1120	2
196	340	267	269	1121	9
205	284	213	112	1122	4
187	270	277	254	1123	5
44	121	507	182	1124	8
363	277	233	183	1125	4
146	213	572	295	1126	8
81	673	0	399	1127	2
254	326	321	248	1128	9
322	245	206	264	1129	5
79	199	511	225	1130	8
96	58	506	260	1131	8
165	560	8	469	1132	2
68	84	130	19	1133	1
25	29	573	199	1134	8
599	253	143	291	1135	7
189	219	548	252	1136	8
106	159	545	247	1137	8
260	270	249	261	1138	5
177	227	227	214	1139	5
33	12	387	165	1140	8
312	355	195	260	1141	9
104	199	559	207	1142	8
215	301	242	210	1143	4
168	252	280	258	1144	5
101	120	355	227	1145	1
272	359	460	253	1146	9
105	124	531	187	1147	8
137	23	590	241	1148	8
138	181	568	281	1149	8
189	213	558	187	1150	8
